country,w_both_014_tbtotal_nd,i_both_014_tbtotal_nd,absad_a,absad_b,w_both_all_htb_nd,i_both_all_htb_nd,w_both_all_tb_nd,i_both_all_tb_nd,w_both_all_tbtotal_nd,i_both_all_tbtotal_nd,any0
Angola,3213.10076371695,1123.71019295416,15169.13509573636,7348.4027729177,7220.36041217075,1549.5342026631,11161.8754472826,6922.5787632087,18382.23585945335,8472.1129658718,FALSE
Sierra Leone,573.799780461859,126.261210761066,3503.0943095948287,1781.19900052715,817.002912360421,245.0763658021,3259.89117769627,1662.3838454861,4076.894090056691,1907.4602112882,FALSE
Mozambique,7333.992315434631,5883.82782727179,47069.17606736069,19610.1911381438,33578.9489363004,15708.907605263,20824.2194464949,9785.1113601526,54403.1683827953,25494.0189654156,FALSE
Zambia,3052.592814873494,1921.1163096727112,14376.74879918899,6560.155666545381,12406.3437986353,4908.3300684322,5022.99781542722,3572.9419077858,17429.34161406252,8481.271976218,FALSE
Guinea-Bissau,345.04811905251404,130.274020427789,2162.926203671117,1094.7023192044599,948.797301885774,546.0388926818,1559.17702083786,678.93744695044,2507.974322723634,1224.97633963224,FALSE
Mongolia,75.506408763344,6.341005008283401,569.4791615460493,316.638091109635,1.91372546618433,0.7407798439,643.071844843209,322.23831627401,644.9855703093933,322.97909611791,FALSE
Suriname,2.189687919953827,0.25973456555075,22.93061066680252,13.0415868376842,10.7833672593823,4.9724995897,14.3369313273741,8.3288218135349,25.120298586756398,13.3013214032349,FALSE
Malaysia,70.26185673235557,8.4142868682063,2564.172443093239,1430.25158827321,232.696354474291,190.8810284271,2401.73794535131,1247.7848467143,2634.434299825601,1438.6658751414002,FALSE
Brunei Darussalam,0,0.02530088152051,22.62572047444969,12.670729843425201,0,0.18194945599,22.6257204744497,12.514081268956,22.6257204744497,12.696030724946,TRUE
Liberia,576.305015215632,185.05952589680498,3440.383975470815,2132.1032177572,844.409732657993,217.2149150825,3172.27925802846,2099.9478285715,4016.688990686453,2317.1627436539998,FALSE
Fiji,8.21834406276299,1.09961766276926,56.98520852541831,36.5854594638543,1.48816697097721,1.5797018446,63.7153856172041,36.105375282023,65.20355258818131,37.685077126623,FALSE
Algeria,387.4186769316983,29.850108598609,2884.486893469888,1873.28372545319,34.5888404689301,79.2999537416,3237.31672993266,1823.8338803102,3271.90557040159,1903.1338340518,FALSE
Antigua and Barbuda,0,0.01384200994961,1.1944000499984329,0.85115562571743,0.256540951237911,0.1319308193,1.19440004999843,0.73306681636705,1.450941001236341,0.8649976356670499,TRUE
Guam,0,0.0617970760671,7.17473684044595,4.24731085917895,0.0159097780707707,0.0620260509,7.17473684044595,4.2470818843461,7.1906466185167215,4.3091079352461,TRUE
Uruguay,1.033242090931821,0.52817589650544,93.68492223622725,57.2731178154916,25.6173935999379,11.9014655852,69.1007707272212,45.899828126797,94.7181643271591,57.801293711997,FALSE
Dem. Rep. Congo,9595.37366971933,4448.00658367538,57530.01484006906,36666.9670442255,16414.827081098,6917.2164665123,50710.5614286905,34197.757161388,67125.38850978849,41114.9736279003,FALSE
Sri Lanka,31.419038729500368,3.2488063978131,1147.6992236836165,732.05388001381,11.4245971160923,6.6390634386,1167.69366529702,728.66362297303,1179.1182624131125,735.30268641163,FALSE
Mauritania,132.5106393668982,37.9798449014593,846.0066960810532,600.1595237449,141.441378760104,71.8017597897,837.075956687847,566.33760885666,978.5173354479509,638.13936864636,FALSE
Uzbekistan,39.48534678793014,12.747079338322699,2902.8147430744457,1973.09332782168,322.88798782835,39.9139973934,2619.41210203403,1945.9264097666,2942.30008986238,1985.84040716,FALSE
Thailand,168.995401829424,7.1669285555037,13618.662036399492,9451.77610586931,5426.70558248074,2051.2633064117,8360.95185574817,7407.6797280131,13787.657438228911,9458.9430344248,FALSE
Ukraine,55.6509057287185,11.8185056721329,7046.683969148,4932.52847953747,2119.00696351517,886.5310741494,4983.32791136154,4057.8159110602,7102.334874876709,4944.3469852096005,FALSE
Austria,1.9749337373614,0.14008973085851,77.9552114113808,55.8575456956828,2.11592704259431,2.097693171,77.8142181061479,53.899942255541,79.93014514874221,55.997635426541,FALSE
South Africa,5393.89835199142,6918.897707751201,91971.16408159686,61337.9562055251,72537.0624335883,42943.419082538,24828,25313.434830738,97365.0624335883,68256.85391327599,FALSE
Gambia,82.2519430863717,36.0603205006627,462.719170141615,354.738141392282,149.860051852691,78.5054765677,395.111061375295,312.29298532524,544.9711132279859,390.79846189294,FALSE
Guyana,7.95152791972335,2.86794200542188,130.8322563836341,96.677369404335,33.4817321750722,33.1907153348,105.302052128285,66.354596074957,138.7837843033572,99.545311409757,FALSE
Russian Federation,120.5891618870649,43.5418987267297,16490.17200759348,11879.4544787077,1502.79531888639,902.7604500033,15107.9658505942,11020.235927431,16610.76116948059,11922.9963774343,FALSE
Colombia,145.99268500695828,30.086137588291002,1284.2715980946841,999.64198669091,417.44489829103,170.2278752774,1012.81938481061,859.5002490018,1430.26428310164,1029.7281242791998,FALSE
Latvia,1.2547657305241722,0.10000485734601,88.95867142145204,66.05971759942899,27.454072122631,8.600052214,62.7593650293451,57.559670242775,90.2134371519761,66.159722456775,FALSE
Myanmar,3358.0633782942623,188.58447512925,28139.684748009888,23260.8498720445,4846.40570535899,2900.0493860029,26651.3424209452,20549.384961171,31497.74812630419,23449.434347173898,FALSE
Jordan,0.920343609807556,0.52940065399462,25.772539646730714,19.463849404641,0.120839999999999,0.0416848164,26.6928832565383,19.951565242236,26.813723256538296,19.993250058636,FALSE
Dominican Republic,49.2535933235855,27.599830347106,819.017154505234,632.00353973761,378.714052513498,131.5499113584,489.556695315322,528.05345872632,868.27074782882,659.6033700847199,FALSE
Kenya,2280.58780583541,1471.5503213706497,13922.576788829261,11003.2030926216,7164.77152408469,5120.6170047696,9038.39307057997,7354.1364092227,16203.16459466466,12474.753413992301,FALSE
Kyrgyzstan,17.81576902960135,5.0164319479414,710.491611672413,562.7574806567541,44.1702930857173,21.3050070243,684.137087616298,546.4689055804,728.3073807020153,567.7739126047001,FALSE
Indonesia,13790.94203727019,1038.51684386324,115636.91784432133,102267.9124823568,26493,7012.3906943923,102934.859881591,96294.038631828,129427.859881591,103306.42932622031,FALSE
Lithuania,0.721275784252877,0.14868362229944998,234.30253102421972,190.516589382756,7.78452737756872,5.0475609605,227.239279430904,185.61771204456,235.0238068084727,190.66527300506,FALSE
Djibouti,47.51548043965573,17.6617016443657,335.5244207142017,294.425734022807,35.4849924780587,50.7956278658,347.554908675799,261.29180780137,383.0399011538577,312.08743566717,FALSE
Cuba,1.5518769102442183,0.34184204891157,55.51547850911537,46.89396294109579,10.0848553517829,5.3933675875,46.9825000675767,41.842437402507,57.0673554193596,47.235804990007004,FALSE
Turkmenistan,54.0241453742866,7.7333899656955,402.650591365637,373.43102302568,0,48.0011321133,456.674736739924,333.16328087808,456.674736739924,381.16441299138,TRUE
Venezuela Bolivarian Republic of,63.8017161383001,16.6796554145328,840.7242056037583,747.97785502386,178.876995283396,137.2787640664,725.648926458664,627.378746372,904.5259217420601,764.6575104384,FALSE
Qatar,0,0.09633134771355001,7.11455035854111,6.001782103074699,0.0861286498768894,0.010452430341,7.11455035854111,6.0876610204472,7.200679008418,6.0981134507882,TRUE
El Salvador,8.74296671684767,2.08418745321169,131.81354215620297,118.512899677887,24.0846872568823,20.1839749705,116.471821616168,100.4131121606,140.5565088730503,120.5970871311,FALSE
Peru,167.26357467736912,60.936087647099,2284.9280228577873,2072.74188980775,491.947978171203,192.93596799916,1960.24361936395,1940.7420094557,2452.191597535153,2133.67797745486,FALSE
Saudi Arabia,44.2116057155423,12.0637462922364,617.379452933403,591.51389802777,18.078332658006,28.91580943136,661.591058648945,574.66183488865,679.6693913069511,603.57764432001,FALSE
Panama,46.05466530355372,9.9278925041175,230.888503239598,237.13780876348102,39.1398155281987,47.6474450119,237.803353014953,199.4182562557,276.94316854315167,247.0657012676,FALSE
Guinea,646.1790905947599,344.04947370566094,4849.905437445189,4584.79362881999,1937.79926669347,1271.6652406574,3558.28526134648,3657.1778618683,5496.08452803995,4928.8431025257005,FALSE
Singapore,0,0.13852989586392,75.94039540110866,67.9866454704553,6.04427737948796,4.78147459,69.8961180216207,63.343700776319,75.94039540110866,68.125175366319,TRUE
Chad,938.943746349772,646.76936008523,4723.726413068665,4454.03481729868,2466.34266455735,1198.059146282,3196.32749486108,3902.7450311019,5662.670159418431,5100.8041773839,FALSE
Romania,39.100920896568,6.1956056380512,1099.5667128900488,1040.9359531879,62.6863966961859,27.5842818885,1075.9812370904301,1019.5472769375,1138.667633786616,1047.131558826,FALSE
Belarus,3.30954789242585,0.36041085578094,523.4679422547002,484.404454480061,71.9090420987342,23.7262573995,454.868448048392,461.03860793634,526.7774901471262,484.76486533584,FALSE
Lebanon,6.82887403660551,0.54339179379572,55.83596920663774,58.927275910524,1.41674724324324,3.7390459929,61.248096,55.73162171142,62.66484324324324,59.47066770432,FALSE
Trinidad and Tobago,1.35343768936115,0.29137661044326,25.53980553862214,25.3448703943012,6.22102057600832,7.7793244168,20.672222651975,17.856922587944,26.893243227983323,25.636247004744,FALSE
India,61261.88266576925,11753.0383885068,453042.8539278876,481855.3026018181,36733.7365936563,26771.703074765,477571,466836.63791556,514304.7365936563,493608.34099032497,FALSE
Côte d'Ivoire,927.894530954823,575.243314256489,6559.18433676631,6684.1480397298,2501.81294465184,2098.2224764093,4985.26592306929,5161.168877577,7487.078867721129,7259.3913539863,FALSE
Mexico,124.6104610448768,56.181941423181,3010.288178981595,3025.89260523223,513.015310186287,485.3360630188,2621.88332984019,2596.7384836366,3134.898640026477,3082.0745466554,FALSE
Equatorial Guinea,23.70546429403965,19.393286874332,160.8520256981991,162.16682503841602,121.186061907441,56.8921347784,63.3714280847983,124.66797713435,184.5574899922393,181.56011191275,FALSE
Morocco,213.0595032405425,70.404221080539,3158.5646838513653,3272.5039359648,143.834895578444,156.4459549903,3227.78929151347,3186.4622020551,3371.624187091914,3342.9081570454,FALSE
Georgia,4.709689312961211,1.33539227424019,207.4356882306173,209.44621010269398,54.8179187906152,9.01806561461,157.327458752963,201.76353676232,212.1453775435782,210.78160237693,FALSE
Brazil,282.3531682788685,141.18307358964103,7448.363105585644,7582.2427052866,2200.52798741647,1960.8892361574,5530.18828644804,5762.5365427188,7730.71627386451,7723.4257788762,FALSE
Slovakia,1.42887893401707,0.09052572449327999,30.463555246364198,31.7794261893277,0.0622587602162966,0.0474823416229,31.8301754201649,31.822469572198,31.892434180381194,31.8699519138209,FALSE
Costa Rica,2.42372508017035,0.72544297437415,53.95915791936307,56.155760767166996,7.20796337135507,7.4512592148,49.1749196281783,49.429944526741,56.38288299953337,56.881203741541,FALSE
